thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,fixationCircle.started,fixationCircle.stopped,retrocue.started,retrocue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.022797800000262214,0.023514100001193583,,,,,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
0,0,0,0,0,0,0,0.0529595000007248,,,,0.5549086999999417,0.5553801999994903,1.6056212000003143,1.6061628999996174,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
1,0,1,1,0,1,0,1.6542644000001019,,,,2.1569200999983877,2.15745059999972,3.205371700001706,3.205853899999056,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
2,0,2,2,0,2,0,3.2534373000016785,,,,3.756305599999905,3.7567339000015636,4.79114810000101,4.791677699999127,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
3,0,3,3,0,3,0,4.836660400000255,,,,5.338887000001705,5.339465400000336,6.388443299998471,6.388926300001913,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
4,0,4,4,0,4,0,6.4365676999987045,,,,6.939364099998784,6.939854500000365,7.988387599998532,7.988919800001895,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
5,0,5,5,0,5,0,8.036618199999793,,,,8.539425999999366,8.53990949999934,9.588783399998647,9.589299100000062,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
6,0,6,6,0,6,0,9.63628880000033,,,,10.139322499999253,10.139826999999059,11.174347299998772,11.17481929999849,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
7,0,7,7,0,7,0,11.219226699999126,,,,11.721160100001725,11.721704799998406,12.755594599999313,12.756129099998361,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
8,0,8,8,0,8,0,12.802618099998654,,,,13.304875699999684,13.305351200000587,14.354549399999087,14.355022899999312,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
9,0,9,9,0,9,0,14.402591699999903,,,,14.904938200001197,14.905485899998894,15.939823000000615,15.940301599999657,774258,001,2025-04-28_15h26.19.471,KeoghRevisedRetrocueTask,2024.2.4,59.62051541929083,2025-04-28 15h26.23.166135 -0700,
