,leftCategory,leftImagePath,rightCategory,rightImagePath,cuedItem,leftDistance,rightDistance
0,cube,stimuli\cubes_resized\near_right_one.jpg,cube,stimuli\cubes_resized\far_center_four.jpg,left,near,far
1,cube,stimuli\cubes_resized\middle_center_five.jpg,cube,stimuli\cubes_resized\near_right_one.jpg,left,middle,near
2,cube,stimuli\cubes_resized\middle_right_two.jpg,cube,stimuli\cubes_resized\near_right_three.jpg,left,middle,near
3,cube,stimuli\cubes_resized\far_right_five.jpg,cube,stimuli\cubes_resized\near_center_one.jpg,right,far,near
4,cube,stimuli\cubes_resized\middle_right_four.jpg,cube,stimuli\cubes_resized\far_right_four.jpg,left,middle,far
5,cube,stimuli\cubes_resized\near_left_two.jpg,cube,stimuli\cubes_resized\far_right_one.jpg,left,near,far
6,cube,stimuli\cubes_resized\near_right_one.jpg,cube,stimuli\cubes_resized\middle_left_one.jpg,left,near,middle
7,cube,stimuli\cubes_resized\middle_left_five.jpg,cube,stimuli\cubes_resized\near_left_two.jpg,right,middle,near
8,cube,stimuli\cubes_resized\near_right_one.jpg,cube,stimuli\cubes_resized\middle_center_one.jpg,right,near,middle
9,cube,stimuli\cubes_resized\middle_right_one.jpg,cube,stimuli\cubes_resized\near_center_three.jpg,right,middle,near
10,cube,stimuli\cubes_resized\middle_left_two.jpg,cube,stimuli\cubes_resized\far_center_two.jpg,left,middle,far
11,cube,stimuli\cubes_resized\far_right_three.jpg,cube,stimuli\cubes_resized\middle_left_one.jpg,left,far,middle
12,cube,stimuli\cubes_resized\middle_right_five.jpg,cube,stimuli\cubes_resized\near_left_one.jpg,left,middle,near
13,cube,stimuli\cubes_resized\far_center_five.jpg,cube,stimuli\cubes_resized\middle_center_one.jpg,right,far,middle
14,cube,stimuli\cubes_resized\near_right_three.jpg,cube,stimuli\cubes_resized\far_left_four.jpg,left,near,far
15,cube,stimuli\cubes_resized\near_left_four.jpg,cube,stimuli\cubes_resized\far_right_one.jpg,right,near,far
16,cube,stimuli\cubes_resized\middle_center_one.jpg,cube,stimuli\cubes_resized\near_left_two.jpg,left,middle,near
17,cube,stimuli\cubes_resized\middle_left_two.jpg,cube,stimuli\cubes_resized\far_left_four.jpg,right,middle,far
18,cube,stimuli\cubes_resized\middle_center_one.jpg,cube,stimuli\cubes_resized\far_center_one.jpg,left,middle,far
19,cube,stimuli\cubes_resized\near_center_two.jpg,cube,stimuli\cubes_resized\far_right_two.jpg,right,near,far
20,cube,stimuli\cubes_resized\middle_right_four.jpg,cube,stimuli\cubes_resized\far_right_four.jpg,left,middle,far
21,cube,stimuli\cubes_resized\far_right_five.jpg,cube,stimuli\cubes_resized\middle_left_five.jpg,right,far,middle
22,cube,stimuli\cubes_resized\near_center_one.jpg,cube,stimuli\cubes_resized\far_right_one.jpg,left,near,far
23,cube,stimuli\cubes_resized\near_left_two.jpg,cube,stimuli\cubes_resized\far_right_five.jpg,right,near,far
24,cube,stimuli\cubes_resized\middle_center_three.jpg,cube,stimuli\cubes_resized\near_center_three.jpg,right,middle,near
25,cube,stimuli\cubes_resized\middle_center_five.jpg,cube,stimuli\cubes_resized\far_left_two.jpg,right,middle,far
26,cube,stimuli\cubes_resized\near_left_four.jpg,cube,stimuli\cubes_resized\far_right_five.jpg,right,near,far
27,cube,stimuli\cubes_resized\middle_left_five.jpg,cube,stimuli\cubes_resized\far_left_three.jpg,right,middle,far
28,cube,stimuli\cubes_resized\far_right_one.jpg,cube,stimuli\cubes_resized\middle_left_two.jpg,right,far,middle
29,cube,stimuli\cubes_resized\near_right_five.jpg,cube,stimuli\cubes_resized\far_right_three.jpg,left,near,far
