thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,stimT,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,ITI.started,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.05438099999446422,0.054744600085541606,,,,,,,,,,,,,,,,,,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.06543150008656085,,,,0.05493390001356602,0.05510590004269034,0.05541550007183105,0.05557990004308522,0.06672840006649494,0.5557320000370964,0.5865132000762969,3.572147099999711,3,3.5908491000300273,4.072542099980637,4.08269960002508,4.573007500031963,4.591245000017807,4.591454099980183,4.603629900026135,4.603763799997978,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
1,0,1,0,0,0,0,1,0,1,0,4.615090599982068,,,,,,4.604020400089212,4.6041333000175655,4.616149800014682,5.104280200088397,5.13772150001023,8.122535100090317,3,8.127164800069295,8.622930900077336,8.63411330000963,9.123366400017403,9.128633700078353,9.128804000094533,9.140636500087567,9.140759800095111,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
2,0,2,0,0,0,0,2,0,2,0,9.153325900086202,,,,,,9.140994100016542,9.141102500027046,9.154466500040144,9.641253200010397,9.67449350003153,12.660610800026916,3,12.665438399999402,13.160938500077464,13.17119610006921,13.661294199991971,13.67860850004945,13.678759300033562,13.691806800081395,13.69193080009427,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
3,0,3,0,0,0,0,3,0,3,0,13.70357310003601,,,,,,13.692159500089474,13.692268799990416,13.704428300028667,14.192391499993391,14.21210590004921,17.204875500057824,3,17.21611640008632,17.705163900041953,17.72373750002589,18.20551580004394,18.230209900066257,18.230351000092924,18.242863000021316,18.24296870001126,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
4,0,4,0,0,0,0,4,0,4,0,18.25488770008087,,,,,,18.24319489998743,18.243295500054955,18.255746299983002,18.74346610007342,18.763409000006504,21.755976999993436,3,21.767190300044604,22.256357799982652,22.27447160007432,22.75683890003711,22.76800440007355,22.768144800094888,22.779964299988933,22.78008330008015,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
5,0,5,0,0,0,0,5,0,5,0,22.792819400085136,,,,,,22.780305600026622,22.780409800005145,22.793663899996318,23.28056550002657,23.31399809999857,26.300803199992515,3,26.318078299984336,26.801097200019285,26.811542100040242,27.30147659999784,27.319021900068037,27.319167700014077,27.331041300087236,27.331149699981324,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
6,0,6,0,0,0,0,6,0,6,0,27.343372800038196,,,,,,27.331374100060202,27.33147730003111,27.34421300003305,27.83162569999695,27.864938899991103,30.85463489999529,3,30.8824992000591,31.35499670007266,31.361353200045414,31.855408300063573,31.868642600020394,31.86881960008759,31.882200599997304,31.88230709999334,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
7,0,7,0,0,0,0,7,0,7,0,31.894432900007814,,,,,,31.882530400063843,31.88263210002333,31.895287599996664,32.382782500004396,32.415978500037454,35.405790199991316,3,35.42032330005895,35.9061002000235,35.91405260004103,36.40654820005875,36.43373100005556,36.43399450008292,36.446778399986215,36.44695160002448,061339,001,2025-05-27_19h59.53.186,KeoghRevisedRetrocueTask,2024.2.4,75.34557246366445,2025-05-27 19h59.56.521910 -0700,
8,0,8,,,,,8,0,8,0,36.458581699989736,,,,,,36.44719910004642,36.44730580004398,36.459481900092214,36.9474302000599,36.993763700011186,,,,,,,,,,,,,,,,,,
