thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.13180609999835724,0.13227009999900474,,,,,,,,,,,,,,,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.15049739999813028,,,,0.1326002999994671,0.1328904000001785,0.13345159999880707,0.1337174000000232,0.15202879999924335,0.1524647999976878,1.4447322999985772,1.445259399999486,1.46674019999773,1.945853299999726,1.96807809999882,2.446491499998956,2.468619799998123,2.4690550999985135,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
1,0,1,0,0,0,0,1,0,1,0,2.4820426999976917,,,,,,2.469260999998369,2.4694415999983903,2.483614299999317,2.4840735999969183,3.3599797999995644,3.360616099998879,3.367079699997703,3.8612938999976905,3.8850606999985757,4.362108699999226,4.385451699999976,4.385926899998594,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
2,0,2,0,0,0,0,2,0,2,0,4.3985640999999305,,,,,,4.386153100000229,4.386384199999156,4.40035319999879,4.400900199998432,5.023642099997232,5.024171699998988,5.036940999998478,5.524707900000067,5.534165499997471,6.025397699999303,6.035131299999193,6.035537399999157,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
3,0,3,0,0,0,0,3,0,3,0,6.048366699997132,,,,,,6.035747599999013,6.03593379999802,6.049892099999852,6.050472899998567,6.691574199998286,6.691985899997235,6.699720499997056,7.19257849999849,7.199821499998507,7.693287699999928,7.700241099999403,7.700574099999358,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
4,0,4,0,0,0,0,4,0,4,0,7.716237699998601,,,,,,7.70078089999879,7.7009843999985605,7.717739299998357,7.718162899996969,8.340403499998502,8.340972999998485,8.349418399997376,8.84164199999941,8.849866399999883,9.34220970000024,9.350980399998662,9.351301699996839,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
5,0,5,0,0,0,0,5,0,5,0,9.365261899998586,,,,,,9.351509599997371,9.35173070000019,9.366819399998349,9.367224399997212,9.958227499999339,9.958710499999142,9.966075199998158,10.45934169999964,10.466211899998598,10.960009399997944,10.985975799998414,10.98648879999746,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
6,0,6,0,0,0,0,6,0,6,0,10.999228699998639,,,,,,10.98670239999774,10.986929099999543,11.000880699997651,11.001357299999654,11.590150999996695,11.590817099997366,11.599362799999653,12.091436199996679,12.099375499998132,12.592112099999213,12.60057819999929,12.600874299998395,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
7,0,7,0,0,0,0,7,0,7,0,12.614938699996856,,,,,,12.601084799996897,12.601254699999117,12.616845499996998,12.617324499999086,13.224377699996694,13.224801199998183,13.232251599998563,13.725455699997838,13.732563800000207,14.226047999996808,14.23444599999857,14.234819599998445,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
8,0,8,0,0,0,0,8,0,8,0,14.248230199998943,,,,,,14.235056599998643,14.235305399997742,14.249732799999038,14.25014629999714,14.857480199996644,14.857901100000163,14.866478500000085,15.358584300000075,15.366068599996652,15.859152699998958,15.866800099996908,15.867102000000159,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
