thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,fixationCircle.started,fixationCircle.stopped,retrocue.started,retrocue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.07928979999996955,0.07969260000027134,,,,,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
0,0,0,0,0,0,0,0.09831470000062836,,,,0.10037459999875864,0.10095069999806583,0.11330900000029942,0.11422139999922365,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
1,0,1,1,0,1,0,0.14378799999758485,,,,0.14538460000039777,0.14607279999836464,0.1614750999979151,0.1619007999979658,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
2,0,2,2,0,2,0,0.19275909999851137,,,,0.19423669999741833,0.1946998999992502,0.2111707000003662,0.21168249999755062,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
3,0,3,3,0,3,0,0.2434103999985382,,,,0.24487969999972847,0.24530699999741046,0.2616521999989345,0.2620872000006784,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
4,0,4,4,0,4,0,0.2936956999983522,,,,0.29546080000000075,0.29596459999811486,0.31169299999965006,0.31215679999877466,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
5,0,5,5,0,5,0,0.34323029999723076,,,,0.3469611000000441,0.3474437999975635,0.3612997999989602,0.36182579999876907,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
6,0,6,6,0,6,0,0.39366510000036214,,,,0.3951089000001957,0.39570850000018254,0.4123074999988603,0.4130215999975917,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
7,0,7,7,0,7,0,0.4437529999995604,,,,0.445456400000694,0.4459361999979592,0.4614680999984557,0.46200169999792706,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
8,0,8,8,0,8,0,0.4935148999975354,,,,0.4949290000004112,0.4956041000004916,0.5127176999994845,0.513199999997596,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
9,0,9,9,0,9,0,0.5434586999981548,,,,0.5449264999988372,0.5453677999976208,0.5619442999995954,0.5624038999994809,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
10,0,10,10,0,10,0,0.593430900000385,,,,0.5950876999995671,0.595538999998098,0.6127381000005698,0.6132490999989386,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
11,0,11,11,0,11,0,0.6446192999974301,,,,0.6461653999976988,0.6468141999976069,0.661562999997841,0.6620712999974785,507604,001,2025-05-05_17h33.27.196,KeoghRevisedRetrocueTask,2024.2.4,59.82915187414095,2025-05-05 17h33.31.764403 -0700,
