thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,retrocue.started,retrocue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.13261419999980717,0.13319889999911538,,,,,,,,,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.15027510000072652,,,,0.133448500000668,0.13376330000028247,0.1343027999973856,0.13464089999979478,0.15188059999854886,0.15233409999927972,0.1664478999991843,0.16682410000066739,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
1,0,1,0,0,0,0,1,0,1,0,0.19781510000029812,,,,,,0.18356009999843081,0.1838752999974531,0.19924999999784632,0.1996590999988257,0.2161859000007098,0.2166408999983105,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
2,0,2,0,0,0,0,2,0,2,0,0.24807289999807836,,,,,,0.23374340000009397,0.23425639999913983,0.24952789999952074,0.25001089999932447,0.2670168999975431,0.2675658000007388,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
3,0,3,0,0,0,0,3,0,3,0,0.29774949999773526,,,,,,0.2833919999975478,0.2837357999997039,0.299369199998182,0.2998496000000159,0.3165713999987929,0.3170155999978306,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
4,0,4,0,0,0,0,4,0,4,0,0.347942399999738,,,,,,0.33376420000058715,0.33412509999834583,0.34944460000042454,0.3498279999985243,0.36651899999924353,0.36695959999997285,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
5,0,5,0,0,0,0,5,0,5,0,0.39777069999763626,,,,,,0.3836936000006972,0.38393269999869517,0.3994459999994433,0.39983439999923576,0.41686529999788036,0.41741969999930006,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
6,0,6,0,0,0,0,6,0,6,0,0.44816159999754746,,,,,,0.43310899999778485,0.4334225999991759,0.44961870000042836,0.45002369999929215,0.466371499998786,0.4667541999988316,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
7,0,7,0,0,0,0,7,0,7,0,0.49781049999728566,,,,,,0.48409909999827505,0.4843086000000767,0.4994912999973167,0.49993130000075325,0.5160515999996278,0.5164559000004374,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
8,0,8,0,0,0,0,8,0,8,0,0.5484456999984104,,,,,,0.5339930999980425,0.534220199999254,0.5500112999980047,0.5504126999985601,0.5660298999973747,0.5664346999983536,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
9,0,9,0,0,0,0,9,0,9,0,0.5980760999991617,,,,,,0.5832200000004377,0.583468199998606,0.6000877000005858,0.600490599998011,0.6173206999992544,0.6177179000005708,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
10,0,10,0,0,0,0,10,0,10,0,0.6476535000001604,,,,,,0.6338286999998672,0.6340528000000631,0.6496095000002242,0.650057700000616,0.6667087999994692,0.6670664999983273,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
11,0,11,0,0,0,0,11,0,11,0,0.6982857000002696,,,,,,0.6842037999995227,0.6844793999989633,0.6997327999997651,0.7002078000004985,0.716360700000223,0.7168576999974903,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,646080,001,2025-05-05_17h44.55.976,KeoghRevisedRetrocueTask,2024.2.4,59.91317382821423,2025-05-05 17h45.00.951373 -0700,
0,0,0,1,0,1,0,0,0,0,0,,,,,0.7351510999978927,0.7355263999997987,,,,,,,,,,,,,,
